authors,year,title,journal,text
"Park, H. S. M., et al.",2015,Postmastectomy radiation therapy for women with 1-3 positive axillary lymph nodes: Patterns of care analysis.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): The benefit of post-mastectomy radiation therapy (PMRT) for patients with 1-3 pathologically positive axillary lymph nodes (pN1a) following modified radical mastectomy (MRM) was demonstrated in the Early Breast Cancer Trialists' Collaborative Group meta-analysis in 2005. The goal of this study was to test our hypothesis that PMRT utilization has increased over time for pN1a patients and to evaluate clinical and non-clinical factors potentially responsible for variation in PMRT practice patterns. Materials/Methods: Using the National Cancer Data Base, we identified adult women diagnosed in 2003-2012 with pT1-2N1a invasive breast cancer as their first primary cancer, status-post unilateral MRM with negative surgical margins. PMRT was defined as postoperative radiation therapy to 40-66 Gy. Independent demographic, clinicopathologic, and healthcare system-related predictors of PMRT receipt were evaluated using the chi-square test and multivariable logistic regression modeling. Results: A total of 25,577 women were included, among whom 7,894 (30.9%) received PMRT. Median patient age was 57 years. The proportion of patients receiving PMRT increased significantly over time (24.0% in 2003 to 41.1% in 2011). Patients receiving PMRT were significantly more likely to be younger, have private insurance, reside in a wealthier zip code, have fewer comorbidities, have a larger primary tumor, receive chemotherapy, and receive hormonal therapy. There were no significant differences between groups in race, academic affiliation of reporting facility, estrogen or progesterone receptor status, number of lymph nodes examined, or breast reconstruction as part of the initial management plan. Multivariable logistic regression revealed that independent predictors of PMRT included diagnosis year after 2008 (OR 1.85, 95% CI 1.75-1.96), age <60 (OR 1.53, 95% CI 1.44-1.63), Charlson/Deyo comorbidity score 0 (OR 1.24, 95% CI 1.15-1.35), tumor size ≥2 cm (OR 1.67, 95% CI 1.56- 1.78), chemotherapy receipt (OR 4.25, 95% CI 3.88-4.66), and hormonal therapy receipt (OR 1.67, 95% CI 1.57-1.78) (all p<0.001). Conclusion: The utilization of PMRT for patients with 1-3 positive axillary lymph nodes has increased significantly in the past decade, even when excluding those with at least pT3 disease or positive margins. PMRT was more likely to be administered in those of younger age, lower comorbidity score, or in the setting of systemic therapy. Future research with long-term follow-up is needed to determine whether PMRT continues to be associated with a clinical benefit for pN1a patients in this era of modern systemic therapy."
"Park, S. S., et al.",2017,A novel delivery of accelerated partial breast irradiation using intraoperative brachytherapy device placement and completion of breast conservation therapy within 10 days.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Accelerated partial breast irradiation (APBI) is a treatment option for early stage breast cancer. To improve patient compliance with adjuvant radiotherapy and decrease the total time for completion of breast conservation therapy (BCT), we initiated intraoperative catheter placement and starting brachytherapy within 2 weekdays. Purpose/Objective(s): From October 2012 to December 2016, 190 patients were prospectively evaluated and registered for intraoperative brachytherapy catheter placement. Inclusion criteria included age ≥ 50 years, estrogen receptor positive invasive carcinoma or ductal carcinoma in-situ, ≤ 2 cm on imaging, and negative surgical margins and sentinel lymph node (SLN) on intraoperative pathology. Target volume was defined as 1 cm of breast tissue beyond the cavity limited to exclude pectoralis, chest wall, and within 5 mm of skin surface. 3D planning was performed on CT images obtained on the weekday after surgery and treatment was initiated on the following weekday. The cumulative incidence of recurrence was estimated considering death as a competing risk. Results: 170 patients (89%) had intraoperative catheter placement. 19 patients were registered but did not have catheter placed due to intraoperative findings (11 positive SLN, 5 extensive disease, 2 failed SLN mapping, 1 no residual disease). One patient had delayed positive SLN on permanent pathology and catheter was used to boost the cavity prior to converting to whole breast radiation. Prescription doses were 34 Gy in 10 BID (57%), 32 Gy in 8 BID (14%), and 21 Gy in 3 daily (29%) fractions. Median age was 67 and 9% were premenopausal. Median tumor size was 0.9 cm, 18% DCIS, and 6% grade 3. BCT was completed in a median of 9 days. Three patients received adjuvant chemotherapy and 64% had adjuvant endocrine therapy. Median follow up is 1.7 years (39% with at least 2 years), and 2-year local recurrence rate is 2%. Conclusion: Intraoperative pathology and brachytherapy catheter placement with initiation of APBI within 2 weekdays allows completion of BCT within 10 consecutive days in select patients with low short-term local recurrence rate. Long term follow up is planned for oncologic and cosmetic outcomes."
"Parker, J. J., et al.",2017,Risk factors for the development of acute radiation dermatitis in breast cancer patients.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Long-term follow-up of several large randomized trials of women with invasive breast cancer have shown breast conserving surgery followed by radiation was as effective as mastectomy without significant differences in survival. With adjuvant radiation though comes the risk of possible acute skin reactions, namely radiation dermatitis. We aimed to identify possible patient and treatment characteristics that may increase the risk of developing acute dermatitis. Understanding which factors are most highly associated with dermatitis could help individualize the prevention and management of radiation-induced skin toxicities in patients undergoing breast cancer treatment. Purpose/Objective(s): We analyzed 209 women with invasive and non-invasive breast cancer who received adjuvant radiation therapy for acute radiation dermatitis. We selected the following characteristics to evaluate their correlation: age, histology, tumor stage, chemotherapy, hormonal therapy, breast position, whole breast fractionation schedule and dose, tumor bed boost dose, diuretics use, smoking status, type 2 diabetes mellitus, autoimmune disease, chronic immunosuppression, and BMI. Univariate logistic regression was used to compare each factor across grade 1, grade 2, and grade 3 dermatitis groups. Significant factors were then analyzed in a multivariate logistic regression. Results: On univariate analysis, the risk of grade 3 dermatitis increased for every 10 pounds increase over the grade 1 mean weight of 159.8 lbs (OR 1.13, p=0.02). In addition, for a 1 unit increase in BMI over 27.0, grade 3 dermatitis was more likely (OR 1.09, p=0.008). For every 100 cGy increase in whole breast dose over 4367 cGy, grades 2 and 3 dermatitis were more likely (OR 1.15 and 1.14, p=0.015. Total dose over 5818 cGy resulted in a higher risk of grade 2 and grade 3 dermatitis (OR 1.11 and 1.40, p=0.003). Age, smoking status, years smoked, chemotherapy, hormone therapy, diabetes, autoimmune disease, and chronic immunosuppression did not affect risk for development of dermatitis. On multivariate analysis, there was a higher risk of grade 2 (OR 1.07, p=0.024) and grade 3 dermatitis (OR 1.18, p=<0.001) with increasing BMI. Total dose also increased the risk of grade 2 (OR 1.13, p=0.007) and grade 3 dermatitis as well (OR 1.59, p=<0.001). Conclusion: Age, smoking status, years smoked, chemotherapy, hormone therapy, diabetes, autoimmune disease, and chronic immunosuppression were not significant risk factors within our patient population. BMI and dose are the most significant risk factors for the development of moderate and severe grades of dermatitis in the early and advanced invasive breast cancer patients examined."
"Pashtan, I. M., et al.",2012,External beam accelerated partial-breast irradiation using 32 Gy in 8 twice-daily fractions: 5-year results of a prospective study.,International Journal of Radiation Oncology Biology Physics,"Purpose: External beam accelerated partial breast irradiation (APBI) is an increasingly popular technique for treatment of patients with early stage breast cancer following breast-conserving surgery. Here we present 5-year results of a prospective trial. Methods and Materials: From October 2003 through November 2005, 98 evaluable patients with stage I breast cancer were enrolled in the first dose step (32 Gy delivered in 8 twice-daily fractions) of a prospective, multi-institutional, dose escalation clinical trial of 3-dimensional conformal external beam APBI (3D-APBI). Median age was 61 years; median tumor size was 0.8 cm; 89% of tumors were estrogen receptor positive; 10% had a triple-negative phenotype; and 1% had a HER-2-positive subtype. Median follow-up was 71 months (range, 2-88 months; interquartile range, 64-75 months). Results: Five patients developed ipsilateral breast tumor recurrence (IBTR), for a 5-year actuarial IBTR rate of 5% (95% confidence interval [CI], 1%-10%). Three of these cases occurred in patients with triple-negative disease and 2 in non-triple-negative patients, for 5-year actuarial IBTR rates of 33% (95% CI, 0%-57%) and 2% (95% CI, 0%-6%; P<.0001), respectively. On multivariable analysis, triple-negative phenotype was the only predictor of IBTR, with borderline statistical significance after adjusting for tumor grade (P=.0537). Conclusions: Overall outcomes were excellent, particularly for patients with estrogen receptor-positive disease. Patients in this study with triple-negative breast cancer had a significantly higher IBTR rate than patients with other receptor phenotypes when treated with 3D-APBI. Larger, prospective 3D-APBI clinical trials should continue to evaluate the effect of hormone receptor phenotype on IBTR rates.  Inc."
"Patel, M. A., et al.",2019,The Impact of Physician Productivity Metrics and Patient Tumor Biology on Receipt of RT in Elderly Patients with ER+ T1N0 Breast Cancer in a Tertiary Cancer Center.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Among elderly patients with early-stage invasive ER+ breast cancer, multiple randomized clinical trials show adjuvant radiation (RT) after lumpectomy does not reduce rates of survival or mastectomy (CALGB 9343, PRIME II). However, in the US, rates of adjuvant RT in this population have decreased modestly, from 79% to 75% (Soulos, JCO 2012). To understand barriers and facilitators to de-implementation of RT in these patients, we hypothesized that the enactment of a “new start” productivity metric for radiation oncologists would increase the rate of RT receipt among patients who were seen in consult by a radiation oncologist and/or increase the use of partial breast irradiation (PBI). Materials/Methods: We reviewed patients at a tertiary care center over the age of 70 treated with lumpectomy for ER+ pT1N0 from 2015-2018. A productivity metric based on number of “new starts” for patients treated with RT was implemented in January 2017; patients were divided into pre- and post- metric implementation for primary analysis. Chi squared analyses were performed to evaluate patterns of RT receipt before and after the new start metric. Secondarily, chi squared analyses and binary multivariate logistic regression including age, HER2 status, multifocality, and LVI were performed on all patients referred for RT to investigate biologic predictors of receipt of RT. Results: 501 patients met inclusion criteria, and 35% received adjuvant RT. 188 patients (37%) were not referred for RT consult and were excluded. Among 313 patients referred, the rate of RT was 55% prior to metric implementation versus 59% after (NS). There was no difference in RT use among high-volume or low-volume providers, or treatment at main campus versus the regional setting. There was no difference in use of PBI (20% vs 20%), hypofractionation (73% vs 71%), or conventional fractionation (1% vs 0%). Secondarily, univariate analysis of patients referred for RT trended toward LVI increasing rates of RT compared to no LVI (65% vs 53%, respectively, p=0.09); on multivariate analysis, only HER2 amplification was associated with receipt of RT (p=0.014). Review of physician notes indicated multifocality as a risk factor driving RT recommendation, but this was not consistent across providers. Conclusion: The implementation of productivity metrics did not significantly impact use of RT in a tertiary care center that is below the national average of RT use in elderly patients with early-stage ER+ breast cancer. Leadership priorities and centralized peer review may overshadow financial incentives in this context; these implementation strategies should be evaluated outside the tertiary setting. Secondarily, HER2 amplification, which was not available in the era of CALGB 9343, is infrequent (5%) but drives use of RT when present. With data suggesting favorable outcomes in early-stage ER+HER2+ patients, investigation of radiation de-escalation in this cohort is warranted."
"Patel, U., et al.",2010,"Placement and visualization of surgical clips in the lumpectomy cavity of patients with stage 0, i, and II breast cancer treated with breast Conserving Surgery and Radiation Therapy (BCS+RT).",International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Surgical clips have been shown to assist in increasing the accuracy of seroma cavity delineation. Here, we provide a detailed analysis of surgical clip placement in the seroma cavity, cavity visualization score (CVS), and the cavity/clip assessment scale (CAS) in early stage breast cancer patients who underwent breast conserving surgery and radiation therapy (BCS+RT) at a single academic institution. Materials/Methods: Planning CT scans of 131 patients with Stage 0, I, and II breast cancer treated by a single radiation oncologist (BGH) between 2006-2009 who underwent BCS+RT were reviewed. For each patient, the seroma cavity was delineated, the number of surgical clips inside the cavity and the margins (anterior, posterior, superior, inferior, medial, and lateral) occupied by clips, and the corresponding CVS and CAS were recorded. Results: Of the 131 patients, only 58 (44%) of the seroma cavities had at least 1 surgical clip; of these 66% had 1-5 clips, 22% had 6-10 clips, and12%had.10 clips present (mean 5, median 4, range, 1-16). 53 (40%) had at least 1 margin occupied by a surgical clip; surgical clipswere found to occupy the anteriormargin in 28/53 (53%), posterior margin in 50/53 (94%), superior margin in 34/53 (64%), inferior margin in 25/53 (47%), medialmargin in 31/53 (58%), and the lateral margin in 25/53 (47%) of seroma cavities.Of these 22/53 (42%) had 1-3margins occupied and 31/53 (58%) had 4-6margins occupied (mean 3.7, median 4, range, 1-6). Themean CVS and CAS were 3.26 and 4.26, respectively. Surgical clips allowed a higher CAS score compared to CVS score in 29/53 (55%) of the seroma cavities with at least 1 margin occupied by a surgical clip. In these 29 cases, the average improvement of CAS over the CVS was 1.83. Conclusions: Placement of surgical clips in seroma cavities of patients undergoing BCT has not become common practice despite strong evidence supporting it. The CAS scoring system represents a modification to the CVS scoring system in that it accounts for the presence of surgical clips."
"Patni, N., et al.",2012,A comparison of acute and chronic toxicity profile between conventional and hypofractionated whole breast irradiation in patients undergoing breast conserving surgery.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To compare the acute and chronic toxicity profile and locoregional control between conventional and hypofractionated radiation therapy (RT) after breast conserving surgery (BCS) in early breast cancer prospectively. Materials/Methods: The study was conducted from June 2008 to January 2010. Forty patients with early breast cancer who underwent BCS were planned for whole breast irradiation and were randomly assigned in two arms. Those in the standard arm (A) received 50 Gy in 25 fractions over 5 weeks. Study arm (B) received 40 Gy in 15 fractions over 3 weeks. Both arms received photon beam to the whole breast followed by electron or brachytherapy boost to tumor bed. Acute toxicity was assessed at and 7-10 days after the completion of RT. Chronic toxicity was assessed 6 months after completion of RT and at last follow up. Toxicity was graded according to CTCAE version 3.0. Results: Median follow-up was 7 months (6-20 months) until the time of analysis. The most commonly observed acute toxicity was radiation dermatitis (84.4%), followed by breast pain (66.3%), breast edema (64%), and heat sensations (38.5%). Radiation dermatitis was seen slightly higher in arm B at both points of assessment (at completion of RT 90% vs. 78.95%, p = 0.608; at 7-10 days of RT-90% vs. 68.42% p = 0.204) but was not statistically significant. Acute breast pain was observed more frequently in arm B as compared to arm A (52.63% vs 80%, p = 0.141) just at the completion of RT, which became statistically significant in arm B at 7-10 days of completion of RT (57.89% vs. 95%, p = 0.018). After 6 months of treatment, breast pain was similar in both the arms. Breast edema and heat sensation were comparable at both points of assessment in both the fractionation schedules. We found that grade II and III radiation dermatitis and breast edema was significantly higher in patients whose irradiated volume was >1800cc3 (p ≤ 0.05) as compared to lesser volumes irrespective of fractionation. Chronic toxicity was evaluated for induration, arm edema, hyperpigmentation, breast pain, and telangiectasia. They were comparable in both arms. The locoregional control and disease free survival was 100% until the time of analysis. Conclusions: Evaluation in a larger group is recommended with longer follow up. However, there is a suggestion that like partial breast irradiation, hypofractionation is a feasible option in whole breast irradiation."
"Paul, A. G. and N. P. Amin",2015,Cosmetic and dosimetric outcomes of African American breast cancer patients treated with whole-breast hypofractionated radiation therapy (WB-HFRT).,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): WB-HFRT is an established treatment paradigm for early stage breast cancer patients (pts) with limited data on the cosmetic outcomes in African-American (AA) pts. We investigated the skin toxicity profile of AA pts treated with WB-HFRT and examined if prone-HFRT resulted in tolerable cosmetic and dosimetric outcomes in obese pts with large pendulous breasts who are traditionally not eligible for supine-HFRT due to higher chances of increased hot spots leading to increased skin toxicity. Materials/Methods: In this single institution retrospective study, we assessed radiation dermatitis (RD) and hyperpigmentation in Stage 0-II AA breast cancer pts s/p lumpectomy and adjuvant WB-HFRT: 42.56 Gy (266 cGy/fx) + 10-12.5 Gy (250 cGy/fx) boost. Weekly skin changes were prospectively collected on a customized assessment form. Pts were selected for either supine or prone position based on the size and pendulous nature of the involved breast. The student t-test and chi-square were used to compare distributions of dosimetric and clinical outcomes, respectively, between supine vs prone. Results: Sixty AA pts were treated with WB-HFRT between 07/2012 and 06/2014. Table 1 displays the patient characteristics, cosmetic outcomes and DVH characteristics between the supine and prone position. Prone pts had statistically significantly larger BMIs and treatment volumes than supine pts, yet statistically significantly lower lung and heart DVHs. Supine and prone pts had comparable levels of hot spots (V105%), grades 1-2 RD, hyperpigmentation, and breast pain with no grades 3-4 RD. Nipple darkening, skin rash, and breast swelling was reported in 47%, 12%, and 28% of all pts, respectively. Conclusion: WB-HFRT in AA pts results in minimal skin toxicities. Prone- HFRT is a safe and preferred method to treat obese AA pts who otherwise would not have been favorable candidates for supine-HFRT. (Table Presented)."
"Paulsson, A. K., et al.",2017,Radiotherapy utilization for women over 60 with early stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Radiation therapy (RT) after breast conserving surgery (BCS) has been considered standard of care for early stage breast cancer (CA) since NSABP B-06. Recent studies, including CALGB 9343, PRIME II, and an exploratory analysis from the Toronto-British Columbia (TBC) trial, have called into question the relative benefit of RT for women of advanced age with favorable breast CA. The NCCN guidelines were updated in 2004 to reflect the CALGB findings, which suggest hormonal therapy (HT) alone is appropriate adjuvant therapy for select women with low risk CA. In this study we analyze our institutional experience with implementation of the updated guidelines over time. Purpose/Objective(s): We identified women ≥ 60 with invasive breast CA treated at our institution from 2000-2014 through an IRB-approved database. Women who met criteria for CALGB 9343, PRIME II or the very-low risk cohort identified in the TBC exploratory analysis of outcomes by molecular subtype (pT1, ER+, grade 1-2) were included. The latter cohort reflects those not included in CALGB or PRIME II on the basis of age. Exclusion criteria were incomplete staging, pure DCIS, treatment with mastectomy or chemotherapy, unknown HT use, ER-, HER2+, tumor > 3 cm, or LN+ disease. We evaluated factors that could impact the decision to omit RT including age, year of diagnosis, tumor size and grade. Results: 2649 women ≥ 60 were treated for breast CA from 2000-2014; 460 met criteria. Median follow-up was 79 months. 180 women met CALGB criteria, 314 met PRIME II criteria, and 148 women age 60-65 met the very-low risk cohort from the TBC analysis. Data was analyzed based on date of presentation to compare RT omission rates before/after the NCCN update and before/after the long term CALGB publication in 2013. LRR rates were 1.8, 1.9, 1.4 and 1.6% for the patients who received RT, and 2.5, 4, 3 and 0% for patients in which RT was omitted in the overall, CALGB, PRIME II, and TBC-like cohorts, respectively (p=0.22, NS). Pts with grade 1 or 2 CA were less likely to receive RT (p<0.05 CALGB), as were pts with tumors ≤1 cm (p=0.05). Of the 74% who received RT between 2000-2014, 12.6% of these pts received hypofractionation (HRT) and 15.8% were treated with PBI. These proportions were similar across sub-groups. Following the long-term update of the Canadian HRT trial in early 2010, 56% of pts receiving RT were treated with whole breast HRT in 2010-2014, compared to 42% from 2000-2009. Conclusion: Despite the marginal benefit in LC and lack of OS benefit for women with low risk breast CA, many women ≥ 60 are still receiving RT as part of their BCT. While we observed a slight improvement in the use of HRT and the omission of RT over time, there remains a fundamental need to individualize breast CA care based on clinical/molecular characteristics and be prudent about utilizing healthcare resources."
"Pentimalli, S., et al.",2012,Phase I-II study of hypofractionated simultaneous integrated boost (SIB) for adjuvant radiation therapy in early breast cancer patients: A report of feasibility and acute toxicity results in the first 50 treatments.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To report results feasibility and early toxicity of hypofractionated simultaneous integrated boost (SIB) approach with Volumetric Modulated Arc Therapy (VMAT), in adjuvant breast postconservative setting. Materials/Methods: Between 9/2010 and 5/2011, 50 consecutive breast cancer patients were submitted to adjuvant radiation therapy with SIBVMAT by RapidArc. Three out of 50 were irradiated bilaterally. All patients were enrolled in a phase I-II trial approved by the ICH ethical committee. The median age of the population was 68 years. According to AJCC staging system, 38 breast lesions were classified as T1, and 15 as T2; considering N stage, 50 were assessed as N0, 3 as N1. All 50 patients enrolled in the study underwent VMAT-SIB technique to irradiate whole breast with concomitant boost irradiation of surgical bed. Doses to whole breast and surgical bed were 40.5 Gy and 48 Gy respectively, delivered in 15 fractions over 3 weeks. According to RTOG acute radiation morbidity scoring criteria, skin toxicities were recorded during and after treatment with a minimum follow-up of 90 days. Cosmesis outcomes were assessed by cosmesis forms to RTOG Headquarters. Results: The minimum follow-up was 6 months. The maximum acute skin toxicity by the end of treatment were: Grade 0 in 20/53 (38%) cases, Grade 1 in 32/53 (60%), Grade 2 in 0 and Grade 3 in 1/53 (2%) (1 of the 3 cases of bilateral breast irradiation). No G4 toxicities were recorded. After radiation, all Grade 1 toxicities have been resolved by 3 weeks. With respect to cosmesis, at clinical evaluation there were no significant differences in baseline vs. 90 days after the treatment, according to cosmetic scores. Conclusions: This 3-week course of postoperative radiation using VMAT with SIB has shown to be feasible and it was associated with acceptable acute skin toxicity profile. Long-term follow-up data are needed to assess late toxicity and clinical outcomes."
"Perera, F.",1995,Method of localization and implantation of the lumpectomy site for high dose rate brachytherapy after conservative surgery for T1 and T2 breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose: This article describes our technique of localization and implantation of the lumpectomy site of patients with T1 and T2 breast cancer. Our method was developed as part of our Phase I/II pilot study of high dose rate (HDR) brachytherapy alone after conservative surgery for early breast cancer. Methods and Materials: In March 1992, we started a pilot study of HDR brachytherapy to the lumpectomy site as the sole radiotherapy after conservative surgery for clinical T1 or T2 invasive breast cancer. Initially, the protocol required intraoperative placement of the interstitial needles at the time of definitive surgery to the breast. The protocol was then generalized to allow the implantation of the lumpectomy site after definitive surgery to the breast, either at the time of subsequent axillary nodal dissection or postoperatively. To date, five patients have been implanted intraoperatively at the time of definitive breast surgery. Twelve patients were implanted after definitive breast surgery, with 7 patients being done at the time of axillary nodal dissection and 5 patients postoperatively. We devised a method of accurately localizing and implanting the lumpectomy site after definitive breast surgery. The method relies on the previous placement of surgical clips by the referring surgeon to mark the lumpectomy site. For each patient, a breast mold is made with radio-opaque angiocatheters taped onto the mold in the supero-inferior direction. A planning CT scan is then obtained through the lumpectomy site. The volume of the lumpectomy site, the number of implant planes necessary, and the orientation of the implants are then determined from the CT scan. The angiocatheters provide a reference grid on the CT films to locate the entry and exit points of the interstitial needles on the plastic mold. The entry and exit points for reference needles are then transferred onto the patient's skin enabling implantation of the lumpectomy site. Needle positions with respect to the lumpectomy site are then verified using simulator radiographs. Results: Eight double plane implants and four single plane implants have been done using this method. Five implants were done using direct visualization. It has not been necessary to reorient the implant in any of the patients. If not for the presence of surgical clips, the size of the lumpectomy site cannot be separated from the surrounding normal breast tissue. Conclusion: This technique is an accurate way to localize the lumpectomy site for HDR brachytherapy."
"Perera, F., et al.",2005,TLD skin dose measurements and acute and late effects after lumpectomy and high-dose-rate brachytherapy only for early breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose: This report examines the relationships between measured skin doses and the acute and late skin and soft tissue changes in a pilot study of lumpectomy and high-dose-rate brachytherapy only for breast cancer. Methods and Materials: Thirty-seven of 39 women enrolled in this pilot study of high-dose-rate brachytherapy (37.2 Gy in 10 fractions b.i.d.) each had thermoluminescent dosimetry (TLD) at 5 points on the skin of the breast overlying the implant volume. Skin changes at TLD dose points and fibrosis at the lumpectomy site were documented every 6 to 12 months posttreatment using a standardized physician-rated cosmesis questionnaire. The relationships between TLD dose and acute skin reaction, pigmentation, or telangiectasia at 5 years were analyzed using the GEE algorithm and the GENMOD procedure in the SAS statistical package. Fisher's exact test was used to determine whether there were any significant associations between acute skin reaction and late pigmentation or telangiectasia or between the volumes encompassed by various isodoses and fibrosis or fat necrosis. Results: The median TLD dose per fraction (185 dose points) multiplied by 10 was 9.2 Gy. In all 37 patients, acute skin reaction Grade 1 or higher was observed at 5.9% (6 of 102) of dose points receiving 10 Gy or less vs. 44.6% (37 of 83) of dose points receiving more than 10 Gy (p < 0.0001). In 25 patients at 60 months, 1.5% telangiectasia was seen at dose points receiving 10 Gy or less (1 of 69) vs. 18% (10 of 56) telangiectasia at dose points receiving more than 10 Gy (p = 0.004). Grade 1 or more pigmentation developed at 1.5% (1 of 69) of dose points receiving less than 10 Gy vs. 25% (14 of 56) of dose points receiving more than 10 Gy (p < 0.001). A Grade 1 or more acute skin reaction was also significantly associated with development of Grade 1 or more pigmentation or telangiectasia at 60 months. This association was most significant for acute reaction and telangiectasia directly over the lumpectomy site (p < 0.001). Grade 1 or more fibrosis, in 25 patients with a 60-month follow-up, occurred in 47.4% (9 of 19) of patients with a volume of 45 cm3 or less covered by the 100% isodose vs. 83.3% (5 of 6) of patients with a larger volume (p = 0.180). Asymptomatic and biopsy-proven fat necrosis occurred in 5 patients. No significant differences in fat necrosis rates according to volume were detected. Conclusions: For high-dose-rate brachytherapy to the lumpectomy site, TLD skin dose was significantly related to acute skin reaction and to pigmentation and telangiectasia at 60 months. An acute skin reaction was also significantly associated with the development of telangiectasia at 60 months. TLD skin dose measurement may allow modification of the brachytherapy implant geometry (dwell times and position) to minimize late skin toxicity.  Inc."
"Perera, F., et al.",2003,Patterns of breast recurrence in a pilot study of brachytherapy confined to the lumpectomy site for early breast cancer with six years' minimum follow-up.,International Journal of Radiation Oncology Biology Physics,"Purpose: In this pilot study of high-dose-rate brachytherapy to the lumpectomy site as the sole radiation, ipsilateral and contralateral breast recurrences are documented with specific attention to the location of recurrence relative to the lumpectomy site. Methods: Between March 1992 and January 1996, 39 patients with T1 (32 patients) and T2 breast cancers received 37.2 Gy in 10 fractions (b.i.d.) over 1 week prescribed to a volume encompassing the surgical clips. Thirteen received adjuvant tamoxifen, and 4 received chemotherapy. Follow-up included annual bilateral mammograms and clinical breast examination every 3 to 6 months. Whereas 13 patients had intraoperative implantation of the lumpectomy site, 26 had postoperative implantation. The latter group and 7 of the former group had surgical clips marking the lumpectomy site, which allowed estimates of the distance of any ipsilateral breast recurrence from the lumpectomy site, using the mediolateral and cranio-caudad mammographic views. Results: At a median follow-up of 91 months, 33 women are alive, 4 have died of disease, and 2 have died of other causes. The 5-year actuarial rate of ipsilateral breast recurrence was 16.2%. Of 6 ipsilateral recurrences, 2 occurred within the lumpectomy site (in-field recurrences). One of the 2 patients had a 1-mm microscopic margin at initial diagnosis; the recurrence was a 3.5-mm microscopic focus of duct carcinoma in situ. The other patient had a 1.5-cm, high-grade infiltrating mammary carcinoma with no residual at wider resection at first diagnosis; the 5-mm invasive recurrence was also of high grade. Four women developed invasive recurrences at least 1.6 cm or more from the lumpectomy site (out-of-field recurrences). Two of these women had gross multifocal recurrences with two cancers in each patient; 1 of the 2 patients had an extensive intraductal component at initial diagnosis. The estimated nearest distances between the out-of-field recurrences and the surgical clips were 1.6, 5.5, 7.7, and 12.0 cm. All ipsilateral breast recurrences were salvaged by mastectomy (4 patients) or by repeat lumpectomy (2 patients) and whole-breast radiation. The interval postdiagnosis to ipsilateral recurrence ranged from 20 months to 58 months. There were two contralateral breast recurrences at intervals of 34 and 36 months; 1 of these patients also had a multifocal, ipsilateral recurrence at 58 months, as previously described. Among patients with any breast recurrence, 1 patient had a family history of prostate cancer; there was no family history of breast or ovarian cancer. Of 17 patients who received adjuvant systemic therapy, only 1 had a breast recurrence. Conclusions: In this pilot study, breast recurrences outside of the lumpectomy site were the predominant pattern of recurrence.  Inc."
